title,id,viewcount,likecount,dislikecount,commentcount,favoritecount
Jesse from NELK is in JAIL..,nwH_PahpWi4,2836221,107700,3471,18705,0
WATCHING PORN ON THE SUBWAY PRANK!,pTJB-mHG1Ps,1277448,50435,673,4839,0
BEEFING Tennis Players!,fURwsw4RZdI,1307024,47174,799,3312,0
Eating Meat In A Vegan Restaurant Part 2!,oxRJgQfY3bk,1832345,65926,2190,6749,0
DRINKING IN LECTURES PRANK!,6u6OWstYUts,1842829,58240,710,3328,0
Fake Forever 21 Employee Prank!,qKNPEE2xAGw,1547601,60205,860,3628,0
HITTING BOWLS IN LECTURES PRANK! Ft. VitalyzdTv,BaZ5cvtNiZQ,2678762,96682,5366,8587,0
FAKE ICE CREAM TRUCK EMPLOYEE PRANK!,ASRxDV1iEVE,2660937,90236,1758,7323,0
Shotgunning Beers In Front of Cops Prank!,bKT3vOeopXM,1442978,48657,873,3065,0
PRANKING A FAN AT OUR MEETUP!,bZeJv13Weyc,735293,27280,782,2834,0
Fake NIKE Store Employee Prank!,M7g30VigrMc,2263136,58392,1095,2980,0
Fake Dick's Sporting Goods Employee Prank!,Xa2XDY1Ja20,4083979,95945,2223,7098,0
HITTING BACKWOODS IN TARGET PRANK!,DTQlBIvvd6g,1497648,51489,870,4184,0
HITTING BOWLS IN WALMART PRANK!,GXjKuEl4Suc,1648881,58419,977,3465,0
DROPPING FLAT SCREEN TV'S PRANK!,80pR_3Fz18s,2255493,82886,2028,5480,0
BUYING EXTRA SMALL CONDOMS PRANK,QxUNCxah5b8,2674971,82549,2385,4562,0
LOWBALLING CAR SALESMAN PRANK!,vOgQcUh_ht0,2087278,78254,1207,3050,0
BEEFING Fighters In The UFC Gym!,xfJQKE2sg64,2408791,78230,1335,3458,0
Screaming On The Golf Course! (INSANE REACTION),ceeBF411mXk,2127983,101885,1447,5428,0
Eating Meat In A Vegan Restaurant!,tYWD_PdKxaQ,5014560,142184,18396,19030,0
Pretending To Be Construction Workers Prank!,b8q6Rssr86A,2392210,59352,1907,3922,0
USING THE TOILET IN PUBLIC PRANK!,rw-ObcpE2Ok,987499,42533,758,3181,0
FULL SEND ft. Post Malone,NYfzmTbb8QY,2208975,82930,884,2931,0
Buying Liquor with McLovin' Fake ID,RzVsBuyWRE4,2562771,80956,2518,4373,0
Microsoft Employee In The Apple Store Prank!,9oqkJlRDdfA,1489951,77694,1649,5593,0
NELK BANNED FROM YOUTUBE,hZ-oK-f0skw,839336,75831,1430,13775,0
BUSTED trying to buy weed..,D2NY_Vbzny0,1077993,43052,738,3283,0
BEEFING Eagles Fans at the Super Bowl!,TDKEhfDbAm8,2573779,81217,2218,7230,0
Chirping Hockey Dads Prank!,6_lgUZtRXCs,1648201,70315,1225,5147,0
Why we almost quit YouTube...,EXgl_56o-og,782863,113059,626,5346,0
The Most Savage Pranks of 2017!,KalFebMSsMs,5718887,135735,2195,6399,0
Fake In-N-Out Employee Prank!,kCjfvXtdK_8,3061068,89493,2023,5162,0
Why we didn't want to go back to Mexico....,cQTBDI-Ibbs,1653670,54700,1089,2250,0
ACTUALLY Getting Hired at AT&T and Quitting,4nDp-m7Qws8,3153241,93231,3585,6263,0
Fake Zoo Employee Prank! (POLICE FOUND US),pcfLOkA5_9E,2224293,66781,963,3895,0
Fake Sea World Employee Prank!,-SEjuLQsAw0,2308266,90615,1388,4519,0
Fake Buffalo Wild Wings Employee Prank!,k25JLOXYh2U,2452463,82048,1144,5835,0
The POLICE tried to ambush us.. (CODE RED ZOO PRANK),c92YVjj6uZA,961527,133877,1276,3756,0
WATCHING PORN IN LECTURES PRANK!,CqCaF-O3j1g,1457374,68987,1236,4323,0
HITTING BONG IN THE GYM PRANK!,IisVvZRUG0Q,807511,47998,559,3262,0
BEEFING College Football Fans! (FIGHT BREAKS OUT) ft. BigDawsTv,jp6qOnZuIEI,3714120,97571,2383,5626,0
someone tried to prank NELK.. (GONE WRONG),0A4-VXaP9jg,1947317,62370,1036,3829,0
STEALING GOLF CARTS IN GHILLE SUITS PRANK! (CHASED BY GOLFERS),fet_n42qaFg,1368413,62466,1173,4368,0
ASKING GUYS TO NETFLIX AND CHILL,nWuQOLF3OYs,1026276,38655,613,3184,0
DROPPING OUT OF AN EXAM PRANK!,7GzgwKwGhKQ,1832078,79144,1087,6663,0
LOWBALLING CAR SALESMAN PRANK!,rBpMYATttsI,2051636,64266,2748,4701,0
Fake Pet Smart Employee Prank!,gifPYwArCVQ,2388516,74380,1293,11571,0
WORKING OUT IN WALMART PRANK!,i8PmWkQ_O1A,1133081,52447,667,3368,0
Fake Gas Station Employee Prank!,wwUf6oKFFEY,4540069,99897,7112,7667,0
Telling Guys We Smashed Their Girlfriends PRANK CALL,fs-1iXx1a1A,3137196,93436,1695,4107,0
We Can't Film In Canada Anymore..,UFIfWCaioFU,926117,42362,1007,5976,0
NELK is facing jail time..,KYoLgOYSp7c,1033910,55814,1200,8198,0
SHOTGUNNING BEERS IN THE LIBRARY!,g9kPdj1iT_0,1593570,51655,1057,3221,0
Chirping Hockey Dads Prank!  (KICKED OUT OF THE ARENA),hliy1tHH-kk,1271088,48342,785,3684,0
Calling In Sick To Places We Dont Work At ft. Banks,iQg52mcVgI4,1962555,61530,1380,6238,0
LOUD SCREAMING AT GOLD'S GYM PRANK!,PWD7iwAEEzM,1409070,57741,1153,3774,0
DRINKING BEERS IN LECTURES PRANK!,ztU6wMd4-XU,4173616,91160,4655,4149,0
MOVING INTO THE CLOUT HOUSE!,tHlb2gpI7os,924838,41908,1436,4282,0
Fake Footlocker Employee Prank! (EMPLOYEE TRIES TO FIGHT US),YlfPUzWvwWk,2314423,79327,1287,4643,0
Fake Security at College Prank!,BqSjJoUP0Fc,1337851,113317,726,3429,0
Fake Manager At Motel Prank!,XGtR4AkfFUU,2419557,70616,1170,5995,0
